sample	paired	tissue	subtissue	origin	body_location
SRS332930	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS333328	y	Lung	Lung	Lung	Body
SRS333380	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS389531	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS390022	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS408811	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS524701	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS526004	y	Liver	Liver	Liver	Body
SRS627188	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS627210	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS627747	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS629424	y	Liver	Liver	Liver	Body
SRS629834	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS629970	y	Brain	Brain-Substantianigra	Brain-Substantianigra	Brain
SRS631256	y	Lung	Lung	Lung	Body
SRS631281	y	Lung	Lung	Lung	Body
SRS638174	y	Skin	Skin-SunExposedLowerleg	Skin-SunExposedLowerleg	Body
SRS638410	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
SRS639375	y	Lung	Lung	Lung	Body
SRS644521	y	Lung	Lung	Lung	Body
SRS644653	y	Brain	Brain-Nucleusaccumbensbasalganglia	Brain-Nucleusaccumbensbasalganglia	Brain
SRS645869	y	Liver	Liver	Liver	Body
SRS645880	y	Liver	Liver	Liver	Body
SRS648756	y	Lung	Lung	Lung	Body
SRS650086	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS650178	y	Liver	Liver	Liver	Body
SRS650184	y	Brain	Brain-Amygdala	Brain-Amygdala	Brain
SRS627765	y	Adipose.Tissue	Adipose-Subcutaneous	Adipose-Subcutaneous	Body
E-MTAB-4377.RNA13	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
E-MTAB-4377.RNA21	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
E-MTAB-4377.RNA32	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1955479	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1955483	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS2305609	y	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS2511376	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2511382	y	Retina	Retina_Fetal.Tissue	Retina_StemCellLine	Retina_Fetal.Tissue
SRS2582164	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582159	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
SRS2582148	y	Retina	Retina_Fetal.Tissue	Retina_FetalTissue	Retina_Fetal.Tissue
HM7MVBBXX_16424741_S63	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7HWBBXX_16424750_S61	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7FMBBXX_16424750_S70	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
HM7MVBBXX_16424750_S72	y	RPE	RPE_Fetal.Tissue	kapil_ipsc	RPE_Fetal.Tissue
