sample	paired	tissue	subtissue	origin	body_location
SRS1036274	y	Pancreas	Pancreas	Pancreas	Body
SRS1054265	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054266	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054267	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054268	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1054269	n	RPE	RPE_Fetal.Tissue	RPE_StemCellLine	RPE_Fetal.Tissue
SRS1572423	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572424	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572425	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572427	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1572428	y	ESC	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line	ESC_Stem.Cell.Line
SRS1588794	n	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1588796	n	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597854	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597855	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597856	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597857	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597858	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597859	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597860	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597861	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597862	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597863	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597864	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597865	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597866	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597867	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597868	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597869	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597870	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597871	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597872	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597873	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597874	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597875	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597876	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597877	y	RPE	RPE_Adult.Tissue	RPE_AdultTissue	RPE_Adult.Tissue
SRS1597878	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
SRS1597879	y	Retina	Retina_Adult.Tissue	Retina_AdultTissue	Retina_Adult.Tissue
